AQS | Shares | AQUIS ENTERTAINMENT LIMITED | Consumer Services | AUD | None | None | 2018-12-24 04:05:47.522620 | 2018-12-24 04:05:47.522620
ARU | Shares | ARAFURA RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522633 | 2018-12-24 04:05:47.522633
ARB | Shares | ARB CORPORATION LIMITED. | Automobiles & Components | AUD | None | None | 2018-12-24 04:05:47.522650 | 2018-12-24 04:05:47.522650
ARX | Shares | ARC EXPLORATION LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522663 | 2018-12-24 04:05:47.522663
AXE | Shares | ARCHER EXPLORATION LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522676 | 2018-12-24 04:05:47.522676
AR9 | Shares | ARCHTIS LIMITED | Software & Services | AUD | None | None | 2018-12-24 04:05:47.522688 | 2018-12-24 04:05:47.522688
ARL | Shares | ARDEA RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522701 | 2018-12-24 04:05:47.522701
AAD | Shares | ARDENT LEISURE GROUP | Consumer Services | AUD | None | None | 2018-12-24 04:05:47.522714 | 2018-12-24 04:05:47.522714
ALG | Shares | ARDENT LEISURE GROUP LIMITED | Consumer Services | AUD | None | None | 2018-12-24 04:05:47.522728 | 2018-12-24 04:05:47.522728
ADV | Shares | ARDIDEN LTD | Materials | AUD | None | None | 2018-12-24 04:05:47.522740 | 2018-12-24 04:05:47.522740
ARF | Shares | ARENA REIT. | Real Estate | AUD | None | None | 2018-12-24 04:05:47.522753 | 2018-12-24 04:05:47.522753
ARD | Shares | ARGENT MINERALS LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522766 | 2018-12-24 04:05:47.522766
AXT | Shares | ARGO EXPLORATION LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522779 | 2018-12-24 04:05:47.522779
ALI | Shares | ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED | Diversified Financials | AUD | None | None | 2018-12-24 04:05:47.522793 | 2018-12-24 04:05:47.522793
ARG | Shares | ARGO INVESTMENTS LIMITED | Not Applic | AUD | None | None | 2018-12-24 04:05:47.522806 | 2018-12-24 04:05:47.522806
ARE | Shares | ARGONAUT RESOURCES NL | Materials | AUD | None | None | 2018-12-24 04:05:47.522819 | 2018-12-24 04:05:47.522819
AGY | Shares | ARGOSY MINERALS LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522832 | 2018-12-24 04:05:47.522832
ARA | Shares | ARIADNE AUSTRALIA LIMITED | Commercial & Professional Services | AUD | None | None | 2018-12-24 04:05:47.522846 | 2018-12-24 04:05:47.522846
ALL | Shares | ARISTOCRAT LEISURE LIMITED | Consumer Services | AUD | None | None | 2018-12-24 04:05:47.522859 | 2018-12-24 04:05:47.522859
AHK | Shares | ARK MINES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522872 | 2018-12-24 04:05:47.522872
AJQ | Shares | ARMOUR ENERGY LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.522884 | 2018-12-24 04:05:47.522884
AWN | Shares | AROWANA INTERNATIONAL LIMITED | Capital Goods | AUD | None | None | 2018-12-24 04:05:47.522897 | 2018-12-24 04:05:47.522897
ARQ | Shares | ARQ GROUP LIMITED | Software & Services | AUD | None | None | 2018-12-24 04:05:47.522913 | 2018-12-24 04:05:47.522913
AMD | Shares | ARROW MINERALS LTD | Materials | AUD | None | None | 2018-12-24 04:05:47.522929 | 2018-12-24 04:05:47.522929
ARV | Shares | ARTEMIS RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522942 | 2018-12-24 04:05:47.522942
AAJ | Shares | ARUMA RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522955 | 2018-12-24 04:05:47.522955
AHY | Shares | ASALEO CARE LIMITED | Household & Personal Products | AUD | None | None | 2018-12-24 04:05:47.522969 | 2018-12-24 04:05:47.522969
AJY | Shares | ASAPLUS RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522982 | 2018-12-24 04:05:47.522982
AFA | Shares | ASF GROUP LIMITED | Diversified Financials | AUD | None | None | 2018-12-24 04:05:47.522995 | 2018-12-24 04:05:47.522995
ASH | Shares | ASHLEY SERVICES GROUP LIMITED | Commercial & Professional Services | AUD | None | None | 2018-12-24 04:05:47.523008 | 2018-12-24 04:05:47.523008
AJD | Shares | ASIA PACIFIC DATA CENTRE GROUP | Real Estate | AUD | None | None | 2018-12-24 04:05:47.523021 | 2018-12-24 04:05:47.523021
AJJ | Shares | ASIAN AMERICAN MEDICAL GROUP LIMITED | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.523035 | 2018-12-24 04:05:47.523035
